Thread Number: 1 ~ 16, Loop Number: 1000000, test times: 16, Tournament Tree Height: 4, Time Unit: Nanosecond
ThreadNumber, TASLock, TTASLock, TournamentLock
1, 2.2381e+07, 2.23663e+07, 1.53828e+08
2, 4.86684e+08, 1.51963e+08, 7.94112e+08
3, 1.45258e+09, 2.75177e+08, 1.4732e+09
4, 2.50832e+09, 3.60624e+08, 2.2132e+09
5, 4.34101e+09, 3.77196e+08, 2.56456e+09
6, 6.06254e+09, 4.75717e+08, 3.11908e+09
7, 7.81123e+09, 6.42276e+08, 3.57492e+09
8, 1.02898e+10, 8.38056e+08, 4.19192e+09
9, 1.2381e+10, 9.40235e+08, 4.70459e+09
10, 1.50395e+10, 1.01338e+09, 5.01275e+09
11, 1.77642e+10, 1.16659e+09, 5.6541e+09
12, 2.10965e+10, 1.28185e+09, 6.08279e+09
13, 2.40056e+10, 1.44369e+09, 6.88777e+09
14, 2.74611e+10, 1.60483e+09, 7.37579e+09
15, 3.03245e+10, 1.70643e+09, 8.28184e+09
16, 3.3969e+10, 1.79377e+09, 9.09078e+09
